place_id,day,hour,busy_percent
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,4,29
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,5,11
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,6,11
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,7,23
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,8,41
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,9,47
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,10,41
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,11,58
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,12,70
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,13,76
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,14,82
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,15,70
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,16,47
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,17,29
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,18,35
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,19,47
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,20,64
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,21,52
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,22,58
883d2ce2-2569-5c3d-b781-c5d14c386085,Senin,23,41
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,6,0
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,7,0
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,8,19
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,9,25
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,10,29
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,11,33
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,12,33
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,13,31
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,14,30
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,15,33
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,16,40
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,17,49
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,18,56
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,19,62
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,20,62
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,21,57
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,22,47
ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Senin,23,0
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,6,0
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,7,22
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,8,30
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,9,38
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,10,42
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,11,43
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,12,43
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,13,44
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,14,46
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,15,50
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,16,50
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,17,48
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,18,0
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,19,0
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,20,0
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,21,0
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,22,0
b094579c-ecb4-5923-bac5-c4b1bcdeb033,Senin,23,0
53add3ec-6af7-517e-9d6b-36707127352d,Senin,6,0
53add3ec-6af7-517e-9d6b-36707127352d,Senin,7,0
53add3ec-6af7-517e-9d6b-36707127352d,Senin,8,32
53add3ec-6af7-517e-9d6b-36707127352d,Senin,9,39
53add3ec-6af7-517e-9d6b-36707127352d,Senin,10,43
53add3ec-6af7-517e-9d6b-36707127352d,Senin,11,42
53add3ec-6af7-517e-9d6b-36707127352d,Senin,12,41
53add3ec-6af7-517e-9d6b-36707127352d,Senin,13,39
53add3ec-6af7-517e-9d6b-36707127352d,Senin,14,39
53add3ec-6af7-517e-9d6b-36707127352d,Senin,15,48
53add3ec-6af7-517e-9d6b-36707127352d,Senin,16,55
53add3ec-6af7-517e-9d6b-36707127352d,Senin,17,66
53add3ec-6af7-517e-9d6b-36707127352d,Senin,18,71
53add3ec-6af7-517e-9d6b-36707127352d,Senin,19,74
53add3ec-6af7-517e-9d6b-36707127352d,Senin,20,74
53add3ec-6af7-517e-9d6b-36707127352d,Senin,21,74
53add3ec-6af7-517e-9d6b-36707127352d,Senin,22,65
53add3ec-6af7-517e-9d6b-36707127352d,Senin,23,0
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,6,0
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,7,0
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,8,0
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,9,39
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,10,41
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,11,40
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,12,38
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,13,39
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,14,44
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,15,49
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,16,51
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,17,50
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,18,50
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,19,58
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,20,72
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,21,88
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,22,88
0e562db3-23df-5a4a-a15e-ceb1b38e748f,Senin,23,0
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,6,0
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,7,18
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,8,23
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,9,29
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,10,36
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,11,39
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,12,39
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,13,40
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,14,44
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,15,51
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,16,60
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,17,67
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,18,68
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,19,66
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,20,0
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,21,0
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,22,0
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,23,0
78915963-aff6-5ec6-8f9a-17ecffd352b7,Senin,7,0
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,5,0
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,6,22
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,7,25
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,8,31
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,9,36
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,10,37
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,11,37
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,12,36
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,13,37
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,14,40
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,15,48
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,16,57
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,17,69
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,18,72
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,19,79
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,20,82
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,21,88
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,22,83
45ff1778-4a4e-5fdf-bc59-8849c128d18a,Senin,23,73
46873744-d498-5028-8fcc-9d27a881cc83,Senin,5,0
46873744-d498-5028-8fcc-9d27a881cc83,Senin,6,41
46873744-d498-5028-8fcc-9d27a881cc83,Senin,7,44
46873744-d498-5028-8fcc-9d27a881cc83,Senin,8,49
46873744-d498-5028-8fcc-9d27a881cc83,Senin,9,52
46873744-d498-5028-8fcc-9d27a881cc83,Senin,10,60
46873744-d498-5028-8fcc-9d27a881cc83,Senin,11,65
46873744-d498-5028-8fcc-9d27a881cc83,Senin,12,64
46873744-d498-5028-8fcc-9d27a881cc83,Senin,13,55
46873744-d498-5028-8fcc-9d27a881cc83,Senin,14,52
46873744-d498-5028-8fcc-9d27a881cc83,Senin,15,67
46873744-d498-5028-8fcc-9d27a881cc83,Senin,16,76
46873744-d498-5028-8fcc-9d27a881cc83,Senin,17,83
46873744-d498-5028-8fcc-9d27a881cc83,Senin,18,89
46873744-d498-5028-8fcc-9d27a881cc83,Senin,19,93
46873744-d498-5028-8fcc-9d27a881cc83,Senin,20,100
46873744-d498-5028-8fcc-9d27a881cc83,Senin,21,95
46873744-d498-5028-8fcc-9d27a881cc83,Senin,22,0
46873744-d498-5028-8fcc-9d27a881cc83,Senin,6,33
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,4,36
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,5,36
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,6,55
